surname,count,rank
Lemus,27079,1297
Lennon,10720,3343
Lentz,15126,2396
Lenz,11191,3226
Leo,8039,4423
Leon,86363,363
Leonard,91475,338
Leone,15364,2372
Leong,9094,3902
Lerma,12639,2852
Lerner,7672,4625
Leroy,7759,4571
Leslie,25078,1417
Lester,44784,768
Leung,20496,1747
Levesque,11490,3146
Levi,7500,4731
Levin,19144,1876
Levine,33637,1032
Levy,37228,932
Lew,7410,4775
Lewandowski,11577,3110
Lewis,531781,29
Leyva,26153,1351
Li,111786,273
Liang,24140,1480
Liao,8482,4177
Libby,10631,3360
Lieberman,8302,4282
Light,16769,2164
Lightfoot,8634,4109
Liles,10317,3463
Lilley,7780,4557
Lilly,22662,1580
Lim,37021,936
Lima,19109,1882
Limon,14472,2496
Lin,79508,402
Linares,19688,1820
Lincoln,16477,2209
Lind,14990,2416
Lindberg,10149,3516
Linder,13830,2607
Lindgren,7300,4834
Lindley,10260,3482
Lindner,7428,4765
Lindquist,11337,3189
Lindsay,33255,1052
Lindsey,63760,529
Lindstrom,9754,3641
Ling,9127,3887
Link,22137,1627
Linn,12508,2876
Linton,14354,2524
Linville,7517,4717
Lipscomb,12948,2788
Lira,14758,2447
Lister,8350,4250
Little,105936,291
Littlefield,9707,3670
Littlejohn,12047,2976
Littleton,9939,3581
Liu,78370,411
Lively,11026,3279
Livingston,42103,821
Llamas,11028,3275
Lloyd,64202,522
Lo,17687,2036
Locke,27643,1272
Lockett,14140,2555
Lockhart,27883,1261
Locklear,19716,1819
Lockwood,19865,1806
Loera,13218,2726
Lofton,13900,2590
Loftus,8166,4347
Logan,67909,492
Logsdon,10242,3491
Logue,8328,4255
Lomax,9789,3627
Lombardi,14227,2545
Lombardo,15598,2336
Lomeli,12263,2922
London,16195,2249
Long,229374,97
Longo,12594,2864
Longoria,17818,2025
Loomis,14518,2485
Looney,12910,2795
Loper,7950,4467
Lopes,18310,1976
Lopez,874523,12
Lor,11479,3149
Lord,23405,1535
Loredo,7830,4530
Lorenz,14528,2483
Lorenzo,17825,2024
Lott,26174,1350
Louie,8485,4175
Louis,23738,1510
Lovato,8293,4289
Love,82873,385
Lovejoy,8351,4249
Lovelace,13787,2613
Loveless,9533,3718
Lovell,21171,1700
Lovett,19471,1842
Loving,7135,4933
Low,12032,2979
Lowe,92260,334
Lowery,43278,799
Lowman,7284,4838
Lowry,24895,1428
Loy,8868,4006
Loya,12232,2931
Loyd,13547,2662
Loza,9011,3949
Lozada,8959,3969
Lozano,57779,577
Lu,35628,978
Lucas,107690,286
Luce,9704,3672
Lucero,39986,865
Luciano,10247,3486
Lucio,9780,3631
Luckett,7790,4547
Ludwig,22380,1600
Lugo,37903,913
Luis,9255,3827
Lujan,22021,1637
Luke,18425,1961
Lum,8060,4406
Lumpkin,9307,3805
Luna,104518,298
Lund,24347,1465
Lundberg,7958,4458
Lundgren,7198,4894
Lundy,14850,2439
Lung,7753,4578
Lunsford,16962,2137
Luo,10005,3564
Luong,14464,2499
Lusk,12847,2803
Luster,7316,4823
Luther,13906,2589
Luttrell,9632,3687
Lutz,32050,1092
Luu,15702,2324
Ly,29891,1176
Lyle,13192,2731
Lyles,16062,2265
Lyman,11664,3079
Lynch,117708,259
Lynn,37644,924
Lyon,27690,1271
Lyons,84516,369
Lytle,12970,2781
Ma,28452,1240
Maas,9285,3818
Mabry,12846,2804
Macdonald,46717,744
Mace,12222,2933
Macedo,8433,4201
Machado,23170,1552
Macias,62227,538
Maciel,11500,3142
Mack,71056,468
Mackay,9886,3600
Mackenzie,13733,2628
Mackey,30749,1143
Macklin,7140,4927
Maclean,7504,4726
Macleod,7886,4495
Madden,35438,982
Maddox,36250,959
Madera,9583,3705
Madison,28411,1241
Madrid,25854,1364
Madrigal,27033,1299
Madsen,17364,2083
Maestas,8296,4287
Magallanes,8852,4012
Magana,39105,888
Magdaleno,7956,4461
Magee,27720,1269
Magnuson,7980,4445
Maguire,16713,2173
Mahaffey,8079,4400
Mahan,15375,2371
Maher,23222,1549
Mahon,9441,3749
Mahoney,40397,855
Mai,17445,2075
Maier,14135,2557
Main,12776,2824
Major,20977,1714
Majors,9747,3650
Maki,9190,3860
Malcolm,10618,3364
Maldonado,121526,249
Malik,14925,2429
Mallory,17578,2048
Malloy,16546,2200
Malone,71286,465
Maloney,30671,1149
Mancilla,7908,4486
Mancini,11382,3175
Mancuso,9711,3665
Maness,8095,4393
Mangum,9515,3723
Manley,25136,1413
Mann,83510,378
Manning,74949,434
Manriquez,8119,4381
Mansfield,18725,1923
Manson,7663,4629
Manuel,27529,1277
Manzanares,7480,4740
Manzano,9608,3697
Manzo,13635,2639
Maples,10603,3367
March,10719,3344
Marcum,16246,2244
Marcus,17671,2037
Marek,8042,4420
Mares,14931,2427
Mariano,9091,3904
Marin,43904,784
Marino,31687,1105
Marion,14777,2446
Mariscal,8368,4238
Mark,14265,2537
Markham,13137,2741
Markley,7581,4679
Marks,49177,703
Marler,7058,4975
Marlow,13205,2728
Marquardt,8749,4058
Marques,7520,4716
Marquez,107533,287
Marquis,8737,4065
Marr,10724,3341
Marrero,21109,1706
Marroquin,19661,1822
Marsh,62304,537
Marshall,183922,139
Marte,8867,4007
Martel,9056,3925
Martell,11158,3234
Martens,10096,3540
Martin,702625,20
Martines,9363,3780
Martinez,1060159,10
Martini,7612,4658
Martino,13128,2746
Martins,11751,3050
Martinson,8048,4412
Martz,8250,4309
Marvin,10310,3468
Marx,11716,3062
Mason,160213,166
Massey,55595,610
Massie,10920,3296
Mast,15932,2288
Masters,23533,1524
Masterson,12117,2961
Mata,48120,724
Mateo,13746,2623
Matheny,8595,4128
Mather,7621,4652
Matheson,7585,4678
Mathew,13808,2612
Mathews,51592,663
Mathias,8851,4014
Mathis,54217,625
Matias,11635,3091
Matlock,12599,2861
Matos,21258,1696
Matson,12320,2911
Matteson,7148,4919
Matthews,131303,226
Mattingly,15050,2411
Mattison,7485,4737
Mattox,10099,3535
Mattson,16203,2247
Mauldin,10011,3561
Maurer,20707,1729
Mauro,7722,4594
Maxey,10584,3372
Maxwell,67961,490
May,103306,304
Maya,10313,3466
Mayberry,14326,2527
Mayer,39555,880
Mayes,25256,1408
Mayfield,29805,1184
Mayhew,9085,3908
Maynard,36460,953
Mayo,35228,989
Mayorga,9659,3679
Mays,40408,854
Mazur,8733,4069
Mazza,8043,4417
Mcadams,11547,3122
Mcafee,12371,2898
Mcalister,11665,3078
Mcallister,29544,1197
Mcarthur,12683,2844
Mcbride,63899,527
Mccabe,30401,1154
Mccaffrey,8181,4339
Mccain,19032,1888
Mccall,43483,794
Mccallister,8545,4146
Mccallum,10229,3495
Mccann,35408,983
Mccarter,9849,3605
Mccarthy,82950,384
Mccartney,13615,2645
Mccarty,36944,939
Mccauley,24743,1442
Mcclain,48165,722
Mcclanahan,10407,3429
Mcclellan,26060,1356
Mcclelland,14092,2564
Mcclendon,18857,1907
Mcclintock,9141,3879
Mccloskey,10756,3336
Mccloud,15783,2313
Mcclung,9456,3746
Mcclure,47742,731
Mccollum,19990,1798
Mccombs,9134,3882
Mcconnell,39754,872
Mccool,7259,4856
Mccord,17875,2019
Mccorkle,8529,4154
Mccormack,17449,2074
Mccormick,63649,532
Mccoy,110744,278
Mccracken,19287,1862
Mccrary,12204,2937
Mccray,28024,1252
Mccreary,8298,4285
Mccue,8250,4309
Mcculloch,8244,4312
Mccullough,45852,755
Mccune,9549,3715
Mccurdy,12463,2880
Mccurry,7590,4673
Mccutcheon,9230,3835
Mcdade,7119,4945
Mcdaniel,88728,352
Mcdaniels,7256,4858
Mcdermott,30528,1151
Mcdevitt,7425,4768
Mcdonald,180497,143
Mcdonnell,14309,2532
Mcdonough,21739,1655
Mcdougal,7139,4930
Mcdowell,49217,702
Mcduffie,10125,3526
Mcelroy,24668,1446
Mcewen,7610,4659
Mcfadden,31839,1098
Mcfall,7602,4664
Mcfarland,41300,835
Mcfarlane,9319,3795
Mcgee,74542,439
Mcghee,23461,1529
Mcgill,27330,1282
Mcginnis,26953,1303
Mcgovern,17257,2095
Mcgowan,33340,1046
Mcgrath,34871,1006
Mcgraw,21614,1668
Mcgregor,15614,2333
Mcgrew,9354,3786
Mcguire,64327,521
Mchenry,11660,3082
Mchugh,18422,1962
Mcinnis,7933,4475
Mcintire,10566,3380
Mcintosh,42379,819
Mcintyre,43842,786
Mckay,38681,895
Mckee,44137,780
Mckeever,7647,4642
Mckelvey,7043,4985
Mckenna,27293,1284
Mckenney,7265,4852
Mckenzie,59595,563
Mckeon,7283,4839
Mckeown,7357,4805
Mckinley,24000,1489
Mckinney,83616,377
Mckinnon,15450,2359
Mcknight,34055,1023
Mckoy,7820,4535
Mclain,17152,2109
Mclaughlin,74816,437
Mclaurin,8045,4414
Mclean,43260,801
Mclemore,10850,3306
Mclendon,8453,4193
Mcleod,30769,1141
Mcmahan,14368,2522
Mcmahon,39411,883
Mcmanus,23909,1498
Mcmichael,7392,4785
Mcmillan,40237,860
Mcmillen,10371,3444
Mcmillian,11765,3043
Mcmullen,20545,1742
Mcmurray,9824,3613
Mcnabb,9935,3583
Mcnair,16595,2191
Mcnally,16039,2268
Mcnamara,26534,1329
Mcneal,20778,1723
Mcneely,11350,3183
Mcneil,34368,1018
Mcneill,19152,1875
Mcnulty,13483,2674
Mcnutt,9232,3834
Mcpherson,36125,965
Mcqueen,19760,1814
Mcrae,18156,1987
Mcreynolds,7373,4795
Mcvay,8086,4398
Mcvey,8848,4018
Mcwhorter,9312,3801
Mcwilliams,20523,1746
Mead,22727,1578
Meade,22091,1631
Meador,10292,3474
Meadows,44500,773
Means,16203,2247
Mears,9988,3569
Medeiros,19031,1889
Medina,188497,133
Medley,13630,2641
Medlin,10750,3338
Medrano,40261,858
Meehan,14630,2464
Meek,14970,2419
Meeker,8781,4046
Meeks,29457,1202
Mehta,14342,2526
Mei,7867,4510
Meier,25486,1391
Meister,7885,4496
Mejia,104057,300
Melchor,8319,4269
Melendez,56230,603
Melgar,9106,3897
Mello,11670,3076
Melo,9731,3655
Melton,50069,688
Melvin,20008,1795
Mena,19522,1832
Menard,11543,3126
Menchaca,8169,4345
Mendenhall,10213,3499
Mendes,10162,3514
Mendez,161717,162
Mendiola,10752,3337
Mendoza,242771,88
Menendez,11609,3102
Meneses,8548,4143
Menjivar,8622,4116
Meraz,8616,4119
Mercado,60761,555
Mercer,34431,1016
Merchant,14692,2455
Mercier,8149,4361
Meredith,24679,1445
Merino,11684,3073
Merrell,8809,4032
Merrick,8629,4111
Merrill,32620,1073
Merriman,9085,3908
Merritt,45594,756
Mertz,7841,4521
Mesa,13566,2656
Messer,20306,1769
Messina,12717,2833
Metcalf,23946,1494
Metz,20366,1760
Metzger,20771,1724
Meyer,150895,183
Meyers,57127,586
Meza,53230,639
Michael,40736,847
Michaels,17528,2057
Michaud,14910,2431
Michel,25578,1383
Michels,7225,4875
Mickelson,7267,4850
Middleton,42578,813
Miguel,10861,3303
Milam,11787,3038
Milburn,7871,4507
Miles,84942,368
Miley,7365,4797
Millan,10733,3339
Millard,12843,2805
Miller,1161437,7
Milligan,22416,1597
Mills,151942,182
Milner,12153,2955
Milton,20703,1732
Mims,19139,1878
Miner,21439,1683
Minnick,7581,4679
Minor,30702,1145
Minter,10301,3470
Minton,13737,2626
Miramontes,8884,3998
Miranda,93628,330
Mireles,17186,2105
Mitchell,384486,48
Mixon,12394,2894
Mize,11908,3008
Mobley,29065,1215
Mock,15847,2301
Moe,11150,3238
Moeller,13915,2588
Moen,8138,4367
Moffett,11853,3025
Moffitt,10070,3543
Mohamed,27972,1257
Mohammed,15132,2395
Mohr,17180,2106
Mojica,14737,2450
Molina,96979,320
Moll,7131,4938
Molloy,7238,4868
Molnar,8586,4131
Monaco,8198,4331
Monaghan,7968,4452
Monahan,15533,2347
Moncada,8574,4134
Mondragon,18620,1941
Monge,8418,4209
Monk,12103,2964
Monroe,55136,617
Monroy,14673,2456
Monson,10425,3424
Montague,11258,3209
Montalvo,23454,1531
Montanez,16281,2240
Montano,27276,1286
Montelongo,8472,4180
Montemayor,8106,4386
Montenegro,10606,3365
Montero,17314,2090
Montes,48142,723
Montez,10097,3539
Montgomery,115953,263
Montiel,12376,2896
Montoya,71844,459
Moody,64429,519
Moon,45528,758
Mooney,33555,1033
Moore,724374,18
Moorman,7399,4780
Mora,57464,583
Morales,311777,63
Moran,88615,353
Moreau,9035,3943
Morehead,7653,4636
Moreira,9037,3942
Morel,8085,4399
Moreland,17832,2023
Moreno,196925,124
Morey,10894,3298
Morgan,286280,69
Moriarty,10005,3564
Morin,29593,1194
Morley,11028,3275
Morrell,11700,3065
Morrill,7598,4667
Morris,318884,62
Morrison,121130,250
Morrissey,13564,2658
Morrow,56840,594
Morse,41774,824
Mortensen,11013,3282
Morton,59213,568
Mosby,7549,4699
Moseley,17130,2112
Moser,30483,1152
Moses,39216,887
Mosher,15672,2325
Mosier,8522,4157
Mosley,47963,730
Mosqueda,9709,3668
Moss,76908,423
Mota,14182,2547
Motley,10274,3480
Mott,17092,2117
Moua,14013,2579
Moulton,12104,2963
Mount,8754,4055
Mowery,8226,4321
Moy,8781,4046
Moya,18071,2001
Moye,7657,4634
Moyer,37050,935
Mueller,64191,523
Muhammad,19076,1884
Muir,11130,3245
Mulder,7317,4822
Mull,9377,3774
Mullen,37502,928
Muller,27216,1293
Mulligan,14590,2469
Mullin,11103,3250
Mullins,71646,463
Mullis,9003,3954
Mundy,9439,3752
Munguia,12615,2857
Muniz,30695,1147
Munn,8751,4056
Munoz,158483,168
Munson,17745,2030
Murdock,19873,1804
Murillo,45558,757
Muro,7916,4481
Murphy,308417,64
Murray,184910,136
Murrell,11347,3185
Murry,10140,3518
Muse,12571,2870
Musser,9820,3615
Myers,229895,96
Myles,13898,2591
Myrick,13236,2720
Nadeau,12236,2929
Nagel,14545,2480
Nagle,10963,3292
Nagy,15497,2354
Nail,7133,4936
Nair,7513,4719
Najera,18340,1971
Nakamura,7658,4633
Nall,7966,4454
Nance,24018,1487
Napier,19182,1872
Napolitano,7153,4917
Naranjo,15658,2328
Narvaez,10579,3373
Nash,58714,569
Nathan,8300,4284
Nation,7125,4940
Nava,39670,874
Navarrete,24259,1471
Navarro,99807,315
Naylor,16745,2169
Neal,91694,337
Needham,10983,3289
Neel,7209,4887
Neeley,9288,3816
Neely,23843,1502
Neff,22764,1577
Negrete,15245,2384
Negron,18413,1963
Neil,10228,3496
Neill,9404,3768
Nelms,7303,4833
Nelson,424958,43
Nemeth,8362,4241
Neri,8094,4394
Nesbitt,13248,2717
Nesmith,7097,4955
Ness,11037,3272
Nettles,11302,3198
Neuman,8982,3957
Neumann,17484,2067
Nevarez,16607,2188
Neville,11739,3053
New,11903,3011
Newberry,13482,2675
Newby,11483,3148
Newcomb,14292,2534
Newell,32909,1064
Newkirk,10620,3363
Newland,7491,4735
Newman,101931,307
Newsom,11218,3218
Newsome,23958,1491
Newton,74092,443
Ng,31210,1125
Ngo,33005,1062
Nguyen,437645,38
Nicholas,27922,1258
Nichols,145584,189
Nicholson,58151,575
Nickel,8292,4291
Nickerson,15970,2283
Nicolas,9006,3951
Nielsen,42773,810
Nielson,11511,3137
Nieto,25701,1376
Nieves,34896,1004
Niles,10173,3511
Nilson,10010,3562
Nino,11202,3224
Nix,24786,1438
Nixon,38147,907
Noble,41667,829
Nobles,12965,2782
Noe,11182,3229
Noel,31768,1103
Nolan,46054,754
Noland,9386,3772
Nolasco,11609,3102
Nolen,10820,3315
Noll,10374,3442
Noonan,13286,2711
Noriega,14559,2477
Norman,67704,495
Norris,89796,346
North,20343,1766
Norton,63722,531
Norwood,22461,1596
Novak,35461,980
Nowak,18891,1902
Noyes,9710,3666
Nugent,15977,2281
Null,7170,4910
Nunes,12191,2942
Nunez,125350,242
Nunley,9046,3936
Nunn,16769,2164
Nutt,7541,4706
Nutter,8137,4368
Nye,12167,2952
Oakes,17499,2065
Oakley,17238,2099
Oaks,7182,4903
Oates,12202,2940
Obrien,118557,258
Ocampo,25720,1374
Ocasio,9293,3815
Ochoa,78677,408
Oconnell,36194,961
Oconnor,77923,417
Odell,31349,1117
Oden,8240,4315
Odom,35020,996
Odonnell,43460,795
Ogden,18860,1906
Ogle,14354,2524
Oglesby,12271,2919
Ogrady,7306,4831
Oh,18285,1978
Ohara,21710,1660
Ojeda,22045,1633
Okeefe,17414,2079
Oldham,12928,2792
Olds,7670,4627
Oleary,22329,1607
Olguin,10660,3356
Oliva,19513,1835
Olivares,23982,1490
Olivarez,9720,3660
Olivas,20106,1785
Oliveira,19055,1887
Oliver,115900,264
Olivera,9108,3896
Olivo,10483,3412
Olmos,9895,3596
Olmstead,8021,4430
Olsen,59356,566
Olson,164035,157
Olvera,27551,1275
Omalley,17588,2046
Omar,7660,4631
Oneal,47979,729
Oneil,28949,1220
Oneill,50028,689
Ong,9584,3704
Ontiveros,16382,2225
Ordaz,7753,4578
Ordonez,18498,1952
Oreilly,12074,2970
Orellana,26651,1319
Orlando,12586,2865
Ornelas,22969,1568
Oropeza,7082,4965
Orosco,8313,4273
Orourke,16457,2213
Orozco,65904,512
Orr,44388,774
Orta,7820,4535
Ortega,127256,239
Ortiz,286899,68
Osborn,32439,1078
Osborne,66827,502
Osburn,7549,4699
Oshea,10531,3395
Osman,9908,3590
Osorio,29482,1199
Ostrander,9518,3722
Osullivan,11818,3032
Osuna,7601,4666
Oswald,14322,2530
Otero,20937,1716
Otis,7549,4699
Otoole,10842,3309
Ott,25738,1373
Otto,22558,1587
Ouellette,13984,2583
Outlaw,8901,3991
Ovalle,7698,4610
Overstreet,12342,2907
Overton,18820,1914
Oviedo,8145,4362
Owen,61630,543
Owens,182719,140
Oxendine,7139,4930
Pace,39879,868
Pacheco,77642,419
Pack,18678,1932
Packard,9494,3733
Packer,9048,3933
Padgett,25413,1397
Padilla,105365,293
Padron,13114,2751
Paez,10433,3420
Pagan,23474,1528
Pagano,8465,4186
Page,82992,383
Paige,20063,1789
Paine,8501,4171
Painter,21969,1641
Pak,10846,3308
Palacio,8400,4220
Palacios,43798,789
Palermo,8165,4348
Palm,7041,4986
Palma,20636,1735
Palmer,156601,172
Palomares,7084,4964
Palomino,9313,3800
Palomo,7478,4741
Palumbo,11005,3285
Pan,12664,2847
Pang,7642,4645
Paniagua,10340,3455
Pannell,8687,4089
Pantoja,15249,2383
Pappas,16559,2198
Paquette,9606,3699
Parada,8649,4103
Pardo,11104,3249
Paredes,27274,1287
Parent,11193,3225
Parham,15846,2302
Parikh,7506,4724
Paris,17707,2033
Parish,14466,2498
Parisi,8326,4259
Park,106696,289
Parker,336221,56
Parkinson,9767,3637
Parks,88586,354
Parnell,14560,2475
Parr,16286,2239
Parra,36765,943
Parris,12710,2839
Parrish,49733,694
Parrott,13753,2620
Parry,10555,3383
Parson,13209,2727
Parsons,67310,498
Partida,8878,4002
Partin,8296,4287
Partridge,9909,3589
Pascual,11959,2998
Pastor,7647,4642
Pate,29327,1208
Patel,229973,95
Paterson,7035,4990
Patino,21113,1705
Patrick,60845,552
Patten,11730,3059
Patterson,205423,117
Patton,66293,506
Paul,78256,415
Pauley,10809,3317
Paulino,11500,3142
Paulsen,11243,3211
Paulson,19331,1857
Paxton,11754,3049
Payne,142601,195
Payton,23670,1515
Paz,25574,1384
Peace,8841,4022
Peacock,21712,1659
Peak,8713,4076
Pearce,31060,1129
Pearl,7570,4687
Pearson,101836,308
Pease,12937,2790
Peck,40055,864
Pedersen,20135,1780
Pederson,14370,2520
Pedraza,12748,2829
Pedroza,10918,3297
Peebles,8843,4021
Peek,11062,3263
Peeples,7499,4732
Pelayo,8402,4218
Pellegrino,7398,4781
Pelletier,17808,2026
Peltier,7140,4927
Pemberton,11272,3207
Pena,130776,227
Pence,12101,2965
Pendergrass,8123,4378
Pendleton,16751,2168
Peng,10575,3374
Penn,19409,1849
Pennington,40854,846
Penny,10249,3485
Peoples,18672,1935
Pepper,11374,3178
Perales,14593,2467
Peralta,36585,949
Perdomo,10058,3548
Perdue,16464,2211
Perea,11546,3124
Pereira,29898,1175
Perez,681645,22
Perkins,131440,223
Perrin,11550,3121
Perry,221741,103
Perryman,9443,3748
Persaud,11956,3000
Person,67411,496
Peter,9191,3859
Peterman,8690,4087
Peters,137513,205
Petersen,58480,571
Peterson,278297,71
Petrie,8520,4159
Pettigrew,7958,4458
Pettis,7354,4807
Pettit,19004,1892
Petty,34882,1005
Peyton,10276,3477
Pfeifer,10109,3533
Pfeiffer,13851,2601
Pham,84320,370
Phan,37836,918
Phelan,10562,3382
Phelps,52044,657
Phillips,360802,52
Phipps,23610,1519
Phung,7155,4915
Piatt,7463,4746
Piazza,8372,4232
Picard,7898,4491
Pichardo,10572,3375
Pickard,9053,3928
Pickens,16577,2195
Pickering,13582,2653
Pickett,31611,1108
Pierce,138629,202
Pierre,33913,1026
Pierson,27983,1254
Pike,26655,1318
Pimentel,21579,1671
Pina,25293,1403
Pineda,60820,553
Pinkerton,8446,4195
Pinkston,8291,4292
Pino,10993,3288
Pinson,7362,4800
Pinto,21366,1687
Piper,22329,1607
Pippin,7326,4818
Pitman,7789,4549
Pitt,9151,3873
Pittman,55021,619
Pitts,49740,693
Pizarro,7446,4755
Place,7251,4862
Plante,7744,4583
Plascencia,8710,4079
Platt,18022,2006
Pleasant,7378,4791
Plummer,25596,1382
Plunkett,10758,3335
Poe,23563,1522
Pogue,7493,4734
Poindexter,11531,3129
Pointer,7453,4752
Poirier,9453,3747
Polanco,19688,1820
Poland,7746,4581
Poling,7779,4558
Polk,27094,1296
Pollack,8977,3959
Pollard,35749,974
Pollock,23310,1543
Pomeroy,7377,4792
Ponce,49549,695
Pond,9052,3930
Ponder,11764,3044
Pool,13505,2669
Poole,56226,604
Poore,8240,4315
Pope,63881,528
Popp,8947,3973
Porras,12106,2962
Porter,163054,159
Portillo,37890,914
Posada,7454,4751
Posey,20263,1773
Post,23458,1530
Poston,10396,3434
Potter,72175,457
Potts,38277,902
Powell,224874,101
Power,14890,2435
Powers,91970,336
Prado,23436,1533
Prasad,8638,4107
Prater,19484,1839
Prather,15860,2298
Pratt,61671,541
Preciado,12455,2883
Prentice,7874,4505
Prescott,16975,2134
Presley,18384,1968
Pressley,13281,2713
Preston,47367,736
Prewitt,8371,4234
Price,235251,91
Pride,7172,4908
Priest,14915,2430
Prieto,19520,1833
Prince,47168,743
Pringle,13115,2750
Pritchard,23549,1523
Pritchett,19334,1856
Proctor,35636,977
Proffitt,9202,3847
Prosser,8244,4312
Provost,8742,4062
Pruett,13618,2644
Pruitt,44365,777
Pryor,27805,1263
Puckett,27627,1273
Puente,14966,2420
Puentes,7528,4711
Puga,7056,4977
Pugh,39559,879
Pulido,18942,1894
Pullen,10565,3381
Pulley,8007,4435
Pulliam,11613,3099
Purcell,22383,1599
Purdy,15126,2396
Purnell,8441,4197
Purvis,16686,2177
Putman,9058,3924
Putnam,18340,1971
Pyle,15180,2389
Pyles,7677,4622
Quach,9894,3598
Qualls,11958,2999
Quarles,9780,3631
Queen,18557,1945
Quesada,7870,4509
Quevedo,8064,4404
Quezada,25752,1372
Quick,25091,1416
Quigley,17121,2113
Quinlan,10302,3469
Quinn,76986,422
Quinones,34468,1014
Quinonez,11576,3111
Quintana,37657,923
Quintanilla,22581,1586
Quintero,41158,839
Quiroz,27452,1280
Raber,7261,4854
Rader,16320,2233
Radford,12956,2785
Rafferty,9311,3802
Ragan,11081,3258
Ragland,12816,2815
Ragsdale,12227,2932
Rahman,18097,1994
Raines,21518,1676
Rainey,23291,1545
Rains,11737,3055
Rainwater,7111,4949
Ralph,8153,4358
Ralston,12302,2914
Rambo,7154,4916
Ramey,22287,1616
Ramirez,557423,28
Ramon,11582,3108
Ramos,263464,76
Ramsay,8120,4380
Ramsey,78350,412
Rana,7145,4923
Rand,10397,3433
Randall,54764,621
Randazzo,7190,4900
Randle,14437,2508
Randolph,41129,840
Raney,8801,4038
Rangel,57549,578
Rankin,28821,1229
Ransom,16871,2150
Rao,11672,3075
Rapp,14107,2562
Rash,7769,4565
Rasmussen,36636,947
Ratcliff,10497,3409
Ratliff,30083,1168
Rau,8961,3968
Rauch,8972,3962
Rausch,8398,4224
Rawlings,9652,3684
Rawls,11679,3074
Ray,133171,220
Raya,7198,4894
Rayburn,8532,4152
Raymond,40275,857
Raynor,7770,4563
Razo,12125,2960
Rea,14819,2443
Read,17048,2127
Reagan,16491,2207
Reardon,14435,2509
Reaves,15550,2344
Rector,13559,2661
Redd,13119,2749
Redden,9067,3919
Reddick,9785,3628
Redding,15767,2317
Reddy,12614,2858
Redman,13028,2770
Redmon,8197,4333
Redmond,21834,1647
Reece,24145,1479
Reed,277030,73
Reeder,19155,1874
Reedy,11884,3017
Rees,12754,2828
Reese,73919,445
Reeves,81978,390
Regalado,12931,2791
Regan,21951,1642
Register,9075,3914
Reich,12891,2796
Reichert,10345,3453
Reid,111360,275
Reilly,40884,845
Reimer,9055,3927
Reinhardt,12057,2973
Reinhart,9237,3833
Reis,12165,2953
Reiss,7334,4815
Reiter,10802,3319
Reitz,7604,4663
Rendon,20143,1778
Renfro,9806,3623
Renner,13889,2594
Reno,9322,3794
Renteria,27976,1256
Resendez,9390,3771
Resendiz,14457,2500
Restrepo,7441,4759
Reuter,7643,4644
Rey,8074,4403
Reyes,327904,60
Reyna,35291,987
Reynolds,200247,121
Reynoso,23143,1554
Rhea,8219,4323
Rhoades,18508,1949
Rhoads,13389,2690
Rhodes,90670,343
Ricci,11534,3127
Rice,149500,184
Rich,49481,696
Richard,53893,629
Richards,130529,228
Richardson,259798,80
Richey,18296,1977
Richmond,37053,934
Richter,29880,1178
Rickard,9128,3886
Ricker,8850,4016
Ricketts,12862,2801
Ricks,18506,1950
Rico,25954,1359
Riddick,8464,4187
Riddle,33507,1036
Ridenour,8130,4373
Rider,16352,2227
Ridge,7133,4936
Ridgeway,8975,3960
Ridley,11521,3133
Ries,7258,4857
Riggins,12218,2934
Riggs,34506,1011
Rigsby,7124,4941
Riley,133872,217
Rinaldi,7756,4573
Rincon,16455,2215
Rinehart,13392,2688
Ring,16381,2226
Riordan,7848,4515
Rios,127794,237
Ripley,9314,3799
Ritchey,8844,4019
Ritchie,29040,1217
Ritter,33252,1053
Rivas,76205,426
Rivera,391114,46
Rivero,11096,3254
Rivers,38662,897
Rizzo,18605,1943
Roach,45019,764
Roark,14509,2489
Robb,13402,2686
Robbins,78381,410
Roberson,56180,605
Robert,12181,2944
Roberts,376774,50
Robertson,153666,175
Robinette,8784,4045
Robins,10797,3322
Robinson,529821,30
Robison,25450,1392
Robledo,16001,2277
Robles,82458,386
Robson,8137,4368
Roby,9315,3798
Rocha,55251,613
Roche,18940,1895
Rock,19313,1859
Rockwell,12360,2902
Rodarte,8860,4008
Rodas,11327,3193
Roddy,7127,4939
Roderick,7039,4987
Rodgers,76095,428
Rodrigues,31280,1122
Rodriguez,1094924,9
Rodriquez,22892,1572
Roe,25286,1406
Rogers,302261,66
Rohrer,7750,4580
Rojas,108421,285
Rojo,10275,3479
Roland,19311,1860
Roldan,13498,2671
Roller,7894,4492
Rollins,35132,992
Roman,72918,452
Romano,29018,1219
Romeo,8636,4108
Romero,208614,115
Romine,7704,4604
Romo,26283,1343
Rooney,16823,2156
Root,20284,1770
Roper,20065,1787
Roque,15203,2388
Rosa,33521,1035
Rosado,26998,1301
Rosales,75185,431
Rosario,48051,725
Rosas,44938,765
Rose,153397,177
Rosen,22596,1585
Rosenbaum,9333,3791
Rosenberg,26307,1339
Rosenberger,7228,4874
Rosenthal,16583,2194
Ross,229368,98
Rosser,8043,4417
Rossi,26183,1348
Roth,58278,574
Rouse,26519,1330
Roush,11386,3173
Rousseau,8270,4297
Rowan,13993,2581
Rowe,69879,478
Rowell,15952,2285
Rowland,35121,993
